Candidate,Entry,Experimental,Entry
AAAS,Q9NRG9,ABCC8,Q09428
AANAT,Q16613,ADAMTS9,Q9P2N4
ABCA1,O95477,ADCY5,O95622
ABCA4,P78363,ADIPOQ,Q15848
ABCB1,P08183,AKT2,P31751
ABCB10,Q9NRK6,AP3S2,P59780
ABCB6,Q9NP58,ATF3,P18847
ABCB9,Q9NP78,ATP2A2,P16615
ABCC11,Q96J66,ATP2A3,Q93084
ABCC2,Q92887,AUTS2,Q8WXX7
ABCC5,O15440,BCL2,P10415
ABCG1,P45844,BCL2L1,Q07817
ABCG2,Q9UNQ0,BCL2L11,O43521
ABCG5,Q9H222,BHMT,Q93088
ABCG8,Q9H221,BRAF,P15056
ABHD6,Q9BV23,C2CD4A,Q8NCU7
ABI3BP,Q7Z7G0,C2CD4B,A6NLJ0
ABO,P16442,C3,P01024
ACAA1,P09110,CAPN10,Q9HC96
ACACA,Q13085,CASP3,P42574
ACACB,O00763,CASP8,Q14790
ACAD10,Q6JQN1,CAT,P04040
ACAD8,Q9UKU7,CBS,P35520
ACAT1,P24752,CCDC92,Q53HC0
SOAT1,P35610,CCND2,P30279
ACD,Q96AP0,CDKAL1,Q5VV42
ACE,P12821,CDO1,Q16878
ACE2,Q9BYF1,CISD2,Q8N5K1
ACHE,P22303,CMIP,Q8IY22
ACKR3,P25106,CNKSR2,Q8WXI2
ACLY,P53396,CPT1A,P50416
ACOT2,P49753,CYBA,P13498
ACOT7,O00154,CYP1A2,P05177
ACP1,P24666,DGKD,Q16760
ACR,P10323,ECE1,P42892
ACSL1,P33121,EDN1,P05305
ACTB,P60709,EDNRA,P25101
ACTBL2,Q562R1,EDNRB,P24530
ACTG1,P63261,EGFR,P00533
ACTG2,P63267,ENPP1,P22413
ACVR1C,Q8NER5,EPC2,Q52LR7
ACVR2B,Q13705,ETS1,P14921
ADA,P00813,FAM234A,Q9H0X4
ADA2,Q9NZK5,FAS,P25445
ADAM11,O75078,FGF21,Q9NSA1
ADAM17,P78536,FTO,Q9C0B1
ADAM19,Q9H013,GCG,P01275
ADAM28,Q9UKQ2,GCGR,P47871
ADAMTS13,Q76LX8,GCK,P35557
ADAMTS2,O95450,GCKR,Q14397
ADARB1,P78563,GLIS3,Q8NEA6
ADCY3,O60266,GLP1R,P43220
ADCYAP1,P18509,GLYAT,Q6IB77
ADD1,P35611,GNB3,P16520
ADGRG1,Q9Y653,GP2,P55259
ADGRL3,Q9HAR2,GPD2,P43304
ADH1B,P00325,GPX1,P07203
ADH1C,P00326,GRB14,Q14449
ADIPOR1,Q96A54,GSTM1,P09488
ADIPOR2,Q86V24,HHEX,Q03014
ADM,P35318,HK1,P19367
ADM2,Q7Z4H4,HLA-DRB5,Q30154
ADORA1,P30542,HMG20A,Q9NP66
ADORA2B,P29275,HMGA1,P17096
ADORA3,P0DMS8,HMOX1,P09601
ADRA1D,P25100,HNF1A,P20823
ADRA1A,P35348,HNF1B,P35680
ADRA2A,P08913,HNF4A,P41235
ADRA2B,P18089,HP,P00738
ADRB2,P07550,HPX,P02790
ADRB3,P13945,IAPP,P10997
AFM,P43652,ICAM1,P05362
AFP,P02771,ID1,P41134
AGBL5,Q8NDL9,IGF2BP2,Q9Y6M1
AGER,Q15109,IL13RA1,P78552
AGMO,Q6ZNB7,INPPL1,O15357
AGPAT1,Q99943,INS,P01308
AGRP,O00253,INSR,P06213
AGT,P01019,IRS1,P35568
AGTR1,P30556,IRS2,Q9Y4H2
AGTR2,P50052,ITGA1,P56199
AGXT2,Q9BYV1,ITLN1,Q8WWA0
AHI1,Q8N157,JADE2,Q9NQC1
